"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"C1orf114","Previous symbol","CCDC181","coiled-coil domain containing 181","HGNC:28051","1q24.2"
"CUGBP2","Previous symbol","CELF2","CUGBP Elav-like family member 2","HGNC:2550","10p14"
"C19orf41","Previous symbol","IZUMO2","IZUMO family member 2","HGNC:28518","19q13.33"
"TSGA14","Previous symbol","CEP41","centrosomal protein 41","HGNC:12370","7q32.2"
"FAM129B","Previous symbol","NIBAN2","niban apoptosis regulator 2","HGNC:25282","9q34.11"
"BASE","Alias symbol","BPIFA4P","BPI fold containing family A member 4, pseudogene","HGNC:20469","20q11.21"
"SEPT9","Previous symbol","SEPTIN9","septin 9","HGNC:7323","17q25.3"
"TMEM90A","Previous symbol","SYNDIG1L","synapse differentiation inducing 1 like","HGNC:32388","14q24.3"
"C2orf40","Previous symbol","ECRG4","ECRG4 augurin precursor","HGNC:24642","2q12.2"
"KIAA0195","Previous symbol","TMEM94","transmembrane protein 94","HGNC:28983","17q25.1"
"MOBKL2C","Previous symbol","MOB3C","MOB kinase activator 3C","HGNC:29800","1p33"
"GPR44","Previous symbol","PTGDR2","prostaglandin D2 receptor 2","HGNC:4502","11q12.2"
"LOC100128554","Unmatched","","","",""
"VARS","Previous symbol","VARS1","valyl-tRNA synthetase 1","HGNC:12651","6p21.33"
"LOC645323","Alias symbol","LINC00461","long intergenic non-protein coding RNA 461","HGNC:42810","5q14.3"
"C14orf23","Previous symbol","LINC01551","long intergenic non-protein coding RNA 1551","HGNC:19828","14q12"
"LOC202781","Unmatched","","","",""
"LOC646999","Unmatched","","","",""
"SOX2OT","Previous symbol","SOX2-OT","SOX2 overlapping transcript","HGNC:20209","3q26.33"
"MPP5","Previous symbol","PALS1","protein associated with LIN7 1, MAGUK p55 family member","HGNC:18669","14q23.3"
"FLJ14107","Alias symbol","BIN3-IT1","BIN3 intronic transcript 1","HGNC:25868","8p21.3"
"C6orf146","Previous symbol","FAM217A","family with sequence similarity 217 member A","HGNC:21362","6p25.2"
"C20orf160","Previous symbol","CCM2L","CCM2 like scaffold protein","HGNC:16153","20q11.21"
"FLJ40330","Unmatched","","","",""
"MGC14436","Unmatched","","","",""
"C10orf128","Previous symbol","TMEM273","transmembrane protein 273","HGNC:27274","10q11.23"
"C1orf204","Previous symbol","SNHG28","small nucleolar RNA host gene 28","HGNC:27647","1q23.2"
"MLL3","Previous symbol","KMT2C","lysine methyltransferase 2C","HGNC:13726","7q36.1"
"KIAA0415","Previous symbol","AP5Z1","adaptor related protein complex 5 subunit zeta 1","HGNC:22197","7p22.1"
"ACCN1","Previous symbol","ASIC2","acid sensing ion channel subunit 2","HGNC:99","17q11.2-q12"
"LOC100192378","Unmatched","","","",""
"C1orf70","Previous symbol","TMEM240","transmembrane protein 240","HGNC:25186","1p36.33"
"WDR8","Previous symbol","WRAP73","WD repeat containing, antisense to TP73","HGNC:12759","1p36.32"
"SNHG3-RCC1","Unmatched","","","",""
"C21orf84","Previous symbol","LINC00313","long intergenic non-protein coding RNA 313","HGNC:16416","21q22.3"
"CTPS","Previous symbol","CTPS1","CTP synthase 1","HGNC:2519","1p34.2"
"C21orf70","Previous symbol","SLX9","SLX9 ribosome biogenesis factor","HGNC:15811","21q22.3"
"SELO","Alias symbol","SELENOO","selenoprotein O","HGNC:30395","22q13.33"
"PLEC1","Previous symbol","PLEC","plectin","HGNC:9069","8q24.3"
"LOC400804","Unmatched","","","",""
"GPR56","Previous symbol","ADGRG1","adhesion G protein-coupled receptor G1","HGNC:4512","16q21"
"FAM190B","Previous symbol","CCSER2","coiled-coil serine rich protein 2","HGNC:29197","10q23.1"
"FAM38A","Previous symbol","PIEZO1","piezo type mechanosensitive ion channel component 1","HGNC:28993","16q24.3"
"C2orf77","Previous symbol","CFAP210","cilia and flagella associated protein 210","HGNC:25064","2q31.1"
"KLHDC5","Previous symbol","KLHL42","kelch like family member 42","HGNC:29252","12p11.22"
"UNC84B","Previous symbol","SUN2","Sad1 and UNC84 domain containing 2","HGNC:14210","22q13.1"
"LOC407835","Unmatched","","","",""
"SFRS8","Previous symbol","SFSWAP","splicing factor SWAP","HGNC:10790","12q24.33"
"NCRNA00111","Previous symbol","LINC00111","long intergenic non-protein coding RNA 111","HGNC:1262","21q22.3"
"C2orf55","Previous symbol","CRACDL","CRACD like","HGNC:33454","2q11.2"
"SEPW1","Previous symbol","SELENOW","selenoprotein W","HGNC:10752","19q13.33"
"LOC440040","Unmatched","","","",""
"B3GALTL","Previous symbol","B3GLCT","beta 3-glucosyltransferase","HGNC:20207","13q12.3"
"HIST1H2BD","Previous symbol","H2BC5","H2B clustered histone 5","HGNC:4747","6p22.2"
"HIST2H3D","Previous symbol","H3C13","H3 clustered histone 13","HGNC:25311","1q21.2"
"CCDC64B","Previous symbol","BICDL2","BICD family like cargo adaptor 2","HGNC:33584","16p13.3"
"UCKL1AS","Previous symbol","UCKL1-AS1","UCKL1 antisense RNA 1","HGNC:31967","20q13.33"
"GEFT","Alias symbol","ARHGEF25","Rho guanine nucleotide exchange factor 25","HGNC:30275","12q13.3"
"LOC91948","Unmatched","","","",""
"HIST2H2BA","Previous symbol","H2BP1","H2B histone pseudogene 1","HGNC:20560","1p11.2"
"AZI1","Previous symbol","CEP131","centrosomal protein 131","HGNC:29511","17q25.3"
"C7orf20","Previous symbol","GET4","guided entry of tail-anchored proteins factor 4","HGNC:21690","7p22.3"
"C22orf34","Previous symbol","MIR3667HG","MIR3667 host gene","HGNC:28010","22q13.33"
"OTX2OS1","Alias symbol","OTX2-AS1","OTX2 antisense RNA 1 (head to head)","HGNC:43906","14q22.3"
"C9orf125","Previous symbol","PGAP4","post-GPI attachment to proteins GalNAc transferase 4","HGNC:28180","9q31.1"
"WBSCR17","Previous symbol","GALNT17","polypeptide N-acetylgalactosaminyltransferase 17","HGNC:16347","7q11.22"
"C20orf114","Previous symbol","BPIFB1","BPI fold containing family B member 1","HGNC:16108","20q11.21"
"QTRTD1","Previous symbol","QTRT2","queuine tRNA-ribosyltransferase accessory subunit 2","HGNC:25771","3q13.31"
"C1orf157","Previous symbol","LINC00303","long intergenic non-protein coding RNA 303","HGNC:26865","1q32.1"
"LOC400794","Unmatched","","","",""
"C12orf34","Previous symbol","FAM222A","family with sequence similarity 222 member A","HGNC:25915","12q24.11"
"EFCAB1","Previous symbol","CLXN","calaxin","HGNC:25678","8q11.21"
"PRHOXNB","Previous symbol","URAD","ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase","HGNC:17785","13q12.2"
"C19orf34","Previous symbol","CSNK1G2-AS1","CSNK1G2 antisense RNA 1","HGNC:28604","19p13.3"
"LOC257358","Unmatched","","","",""
"ADAM5P","Previous symbol","ADAM5","ADAM metallopeptidase domain 5 (pseudogene)","HGNC:212","8p11.22"
"HFE2","Previous symbol","HJV","hemojuvelin BMP co-receptor","HGNC:4887","1q21.1"
"PDIA3P","Previous symbol","PDIA3P1","protein disulfide isomerase family A member 3 pseudogene 1","HGNC:4607","1q21.1"
"LOC731779","Unmatched","","","",""
"H2AFY","Previous symbol","MACROH2A1","macroH2A.1 histone","HGNC:4740","5q31.1"
"CABC1","Previous symbol","COQ8A","coenzyme Q8A","HGNC:16812","1q42.13"
"ALS2CR11","Previous symbol","C2CD6","C2 calcium dependent domain containing 6","HGNC:14438","2q33.1"
"MESDC1","Previous symbol","TLNRD1","talin rod domain containing 1","HGNC:13519","15q25.1"
"TCTEX1D1","Previous symbol","DYNLT5","dynein light chain Tctex-type family member 5","HGNC:26882","1p31.3"
"CCDC19","Previous symbol","CFAP45","cilia and flagella associated protein 45","HGNC:17229","1q23.2"
"RAD51L1","Previous symbol","RAD51B","RAD51 paralog B","HGNC:9822","14q24.1"
"FAM26D","Previous symbol","CALHM4","calcium homeostasis modulator family member 4","HGNC:21094","6q22.1"
"BET3L","Previous symbol","TRAPPC3L","trafficking protein particle complex subunit 3L","HGNC:21090","6q22.1"
"C1orf161","Previous symbol","MAB21L3","mab-21 like 3","HGNC:26787","1p13.1"
"LHFP","Previous symbol","LHFPL6","LHFPL tetraspan subfamily member 6","HGNC:6586","13q13.3-q14.11"
"KIAA1949","Previous symbol","PPP1R18","protein phosphatase 1 regulatory subunit 18","HGNC:29413","6p21.33"
"C3orf27","Previous symbol","LINC01565","long intergenic non-protein coding RNA 1565","HGNC:17099","3q21.3"
"C16orf73","Previous symbol","MEIOB","meiosis specific with OB-fold","HGNC:28569","16p13.3"
"LRRC33","Previous symbol","NRROS","negative regulator of reactive oxygen species","HGNC:24613","3q29"
"C14orf37","Previous symbol","ARMH4","armadillo like helical domain containing 4","HGNC:19846","14q23.1"
"FLJ12825","Unmatched","","","",""
"ZNF767","Previous symbol","ZNF767P","zinc finger family member 767, pseudogene","HGNC:21884","7q36.1"
"LOC494141","Unmatched","","","",""
"C10orf50","Previous symbol","FAM238A","family with sequence similarity 238 member A","HGNC:17776","10p12.1"
"LOC388692","Unmatched","","","",""
"C19orf55","Previous symbol","PROSER3","proline and serine rich 3","HGNC:25204","19q13.12"
"HIST1H2AL","Previous symbol","H2AC16","H2A clustered histone 16","HGNC:4730","6p22.1"
"C6orf154","Previous symbol","LRRC73","leucine rich repeat containing 73","HGNC:21375","6p21.1"
"C18orf1","Previous symbol","LDLRAD4","low density lipoprotein receptor class A domain containing 4","HGNC:1224","18p11.21"
"KIAA0467","Previous symbol","SZT2","SZT2 subunit of KICSTOR complex","HGNC:29040","1p34.2"
"FAM18A","Previous symbol","TVP23A","trans-golgi network vesicle protein 23 homolog A","HGNC:20398","16p13.13"
"C7orf54","Previous symbol","SND1-IT1","SND1 intronic transcript 1","HGNC:24158","7q32.1"
"PCNXL3","Previous symbol","PCNX3","pecanex 3","HGNC:18760","11q13.1"
"LOC643406","Unmatched","","","",""
"LOC646627","Unmatched","","","",""
"C22orf9","Previous symbol","KIAA0930","KIAA0930","HGNC:1314","22q13.31"
"PCDH24","Previous symbol","CDHR2","cadherin related family member 2","HGNC:18231","5q35.2"
"C12orf23","Previous symbol","TMEM263","transmembrane protein 263","HGNC:28281","12q23.3"
"TMPRSS8","Previous symbol","PRSS30P","serine protease 30, pseudogene","HGNC:28753","16p13.3"
"LOC90834","Unmatched","","","",""
"LOC157627","Unmatched","","","",""
"FLJ45340","Alias symbol","LINC01000","long intergenic non-protein coding RNA 1000","HGNC:38541","7q32.1"
"KIAA1267","Previous symbol","KANSL1","KAT8 regulatory NSL complex subunit 1","HGNC:24565","17q21.31"
"LOC399959","Unmatched","","","",""
"ZNF833","Previous symbol","ZNF833P","zinc finger protein 833, pseudogene","HGNC:33819","19p13.2"
"LOC100240735","Unmatched","","","",""
"CCDC36","Previous symbol","IHO1","interactor of HORMAD1 1","HGNC:27945","3p21.31"
"LOC389333","Unmatched","","","",""
"FAM134B","Previous symbol","RETREG1","reticulophagy regulator 1","HGNC:25964","5p15.1"
"C8orf51","Previous symbol","RHPN1-AS1","RHPN1 antisense RNA 1 (head to head)","HGNC:28457","8q24.3"
"ZNRD1","Previous symbol","POLR1H","RNA polymerase I subunit H","HGNC:13182","6p22.1"
"NCRNA00171","Previous symbol","POLR1HASP","POLR1H antisense, pseudogene","HGNC:13924","6p22.1"
"EIF2C2","Previous symbol","AGO2","argonaute RISC catalytic component 2","HGNC:3263","8q24.3"
"LPPR2","Alias symbol","PLPPR2","phospholipid phosphatase related 2","HGNC:29566","19p13.2"
"MFI2","Previous symbol","MELTF","melanotransferrin","HGNC:7037","3q29"
"SQRDL","Previous symbol","SQOR","sulfide quinone oxidoreductase","HGNC:20390","15q21.1"
"C4orf23","Previous symbol","TRMT44","tRNA methyltransferase 44 homolog","HGNC:26653","4p16.1"
"C19orf50","Previous symbol","KXD1","KxDL motif containing 1","HGNC:28420","19p13.11"
"ALS2CR12","Previous symbol","FLACC1","flagellum associated containing coiled-coil domains 1","HGNC:14439","2q33.1"
"POLS","Previous symbol","TENT4A","terminal nucleotidyltransferase 4A","HGNC:16705","5p15.31"
"CCDC46","Previous symbol","CEP112","centrosomal protein 112","HGNC:28514","17q24.1"
"LOC728264","Unmatched","","","",""
"C17orf70","Previous symbol","FAAP100","FA core complex associated protein 100","HGNC:26171","17q25.3"
"WDR69","Previous symbol","DAW1","dynein assembly factor with WD repeats 1","HGNC:26383","2q36.3"
"C3orf66","Previous symbol","LINC00488","long intergenic non-protein coding RNA 488","HGNC:32675","3q13.13"
"C1orf177","Previous symbol","LEXM","lymphocyte expansion molecule","HGNC:26854","1p32.3"
"PPAP2B","Previous symbol","PLPP3","phospholipid phosphatase 3","HGNC:9229","1p32.2"
"SH3D20","Previous symbol","ARHGAP27","Rho GTPase activating protein 27","HGNC:31813","17q21.31"
"SNORD29","Approved symbol","SNORD29","small nucleolar RNA, C/D box 29","HGNC:10151","11q12.3"
"SNORD31","Approved symbol","SNORD31","small nucleolar RNA, C/D box 31","HGNC:10158","11q12.3"
"T","Previous symbol","TBXT","T-box transcription factor T","HGNC:11515","6q27"
"C12orf51","Previous symbol","HECTD4","HECT domain E3 ubiquitin protein ligase 4","HGNC:26611","12q24.13"
"LOC100189589","Unmatched","","","",""
"PGCP","Alias symbol","CPQ","carboxypeptidase Q","HGNC:16910","8q22.1"
"LOC284788","Unmatched","","","",""
"UNC84A","Previous symbol","SUN1","Sad1 and UNC84 domain containing 1","HGNC:18587","7p22.3"
"KIAA1543","Previous symbol","CAMSAP3","calmodulin regulated spectrin associated protein family member 3","HGNC:29307","19p13.2"
"LOC285768","Unmatched","","","",""
"MIR323","Previous symbol","MIR323A","microRNA 323a","HGNC:31766","14q32.31"
"C14orf182","Previous symbol","LINC01588","long intergenic non-protein coding RNA 1588","HGNC:27503","14q21.3"
"MIR550-2","Previous symbol","MIR550A2","microRNA 550a-2","HGNC:32805","7p14.3"
"LOC158376","Unmatched","","","",""
"PTRF","Previous symbol","CAVIN1","caveolae associated protein 1","HGNC:9688","17q21.2"
"FAM18B2","Previous symbol","TVP23C","trans-golgi network vesicle protein 23 homolog C","HGNC:30453","17p12"
"C21orf130","Previous symbol","LINC00323","long intergenic non-protein coding RNA 323","HGNC:19720","21q22.2"
"NCRNA00176","Previous symbol","C20orf204","chromosome 20 open reading frame 204","HGNC:27655","20q13.33"
"FAM176A","Previous symbol","EVA1A","eva-1 homolog A, regulator of programmed cell death","HGNC:25816","2p12"
"LOC100129354","Unmatched","","","",""
"LOC90246","Unmatched","","","",""
"HRNBP3","Alias symbol","RBFOX3","RNA binding fox-1 homolog 3","HGNC:27097","17q25.3"
"LOC285780","Unmatched","","","",""
"FLJ32065","Alias symbol","AMZ2P1","AMZ2 pseudogene 1","HGNC:26491","17q24.1"
"C3orf24","Previous symbol","FANCD2OS","FANCD2 opposite strand","HGNC:28623","3p25.3"
"IGF2AS","Previous symbol","IGF2-AS","IGF2 antisense RNA","HGNC:14062","11p15.5"
"DEPDC6","Previous symbol","DEPTOR","DEP domain containing MTOR interacting protein","HGNC:22953","8q24.12"
"LOC220930","Unmatched","","","",""
"MFSD4","Previous symbol","MFSD4A","major facilitator superfamily domain containing 4A","HGNC:25433","1q32.1"
"TENC1","Previous symbol","TNS2","tensin 2","HGNC:19737","12q13.13"
"LOC440335","Unmatched","","","",""
"MARCH3","Previous symbol","MARCHF3","membrane associated ring-CH-type finger 3","HGNC:28728","5q23.2"
"C5orf32","Previous symbol","CYSTM1","cysteine rich transmembrane module containing 1","HGNC:30239","5q31.3"
"C17orf103","Previous symbol","NATD1","N-acetyltransferase domain containing 1","HGNC:30770","17p11.2"
"SFRS2IP","Previous symbol","SCAF11","SR-related CTD associated factor 11","HGNC:10784","12q12"
"DARC","Previous symbol","ACKR1","atypical chemokine receptor 1 (Duffy blood group)","HGNC:4035","1q23.2"
"CCDC101","Previous symbol","SGF29","SAGA complex associated factor 29","HGNC:25156","16p11.2"
"RICS","Alias symbol","ARHGAP32","Rho GTPase activating protein 32","HGNC:17399","11q24.3"
"C6orf174","Previous symbol","SOGA3","SOGA family member 3","HGNC:21494","6q22.33"
"SFRS3","Previous symbol","SRSF3","serine and arginine rich splicing factor 3","HGNC:10785","6p21.31-p21.2"
"FREQ","Previous symbol","NCS1","neuronal calcium sensor 1","HGNC:3953","9q34.11"
"T-SP1","Alias symbol","PRSS55","serine protease 55","HGNC:30824","8p23.1"
"C11orf93","Previous symbol","POU2AF3","POU class 2 homeobox associating factor 3","HGNC:26978","11q23.1"
"C11orf92","Previous symbol","COLCA1","colorectal cancer associated 1","HGNC:33789","11q23.1"
"SF4","Previous symbol","SUGP1","SURP and G-patch domain containing 1","HGNC:18643","19p13.11"
"C20orf54","Previous symbol","SLC52A3","solute carrier family 52 member 3","HGNC:16187","20p13"
"LOC388588","Unmatched","","","",""
"C1orf61","Previous symbol","MIR9-1HG","MIR9-1 host gene","HGNC:30780","1q22"
"C13orf28","Previous symbol","SPACA7","sperm acrosome associated 7","HGNC:29575","13q34"
"CARS","Previous symbol","CARS1","cysteinyl-tRNA synthetase 1","HGNC:1493","11p15.4"
"FLJ25006","Alias symbol","RSKR","ribosomal protein S6 kinase related","HGNC:26314","17q11.2"
"C3orf26","Previous symbol","CMSS1","cms1 ribosomal small subunit homolog","HGNC:28666","3q12.1"
"MYST4","Previous symbol","KAT6B","lysine acetyltransferase 6B","HGNC:17582","10q22.2"
"C1orf104","Previous symbol","RUSC1-AS1","RUSC1 antisense RNA 1","HGNC:26680","1q22"
"C22orf45","Previous symbol","ADORA2A-AS1","ADORA2A antisense RNA 1","HGNC:37122","22q11.23"
"NCRNA00181","Previous symbol","A1BG-AS1","A1BG antisense RNA 1","HGNC:37133","19q13.43"
"BRUNOL4","Previous symbol","CELF4","CUGBP Elav-like family member 4","HGNC:14015","18q12.2"
"FAM150A","Previous symbol","ALKAL1","ALK and LTK ligand 1","HGNC:33775","8q11.23"
"LOC152225","Unmatched","","","",""
"MARCH11","Previous symbol","MARCHF11","membrane associated ring-CH-type finger 11","HGNC:33609","5p15.1"
"CCDC109A","Previous symbol","MCU","mitochondrial calcium uniporter","HGNC:23526","10q22.1"
"LOC642006","Unmatched","","","",""
"C4orf49","Previous symbol","MGARP","mitochondria localized glutamic acid rich protein","HGNC:29969","4q31.1"
"PPAP2A","Previous symbol","PLPP1","phospholipid phosphatase 1","HGNC:9228","5q11.2"
"SAPS2","Previous symbol","PPP6R2","protein phosphatase 6 regulatory subunit 2","HGNC:19253","22q13.33"
"C19orf76","Previous symbol","ADM5","adrenomedullin 5 (putative)","HGNC:27293","19q13.33"
"FAM90A13","Previous symbol","FAM90A13P","family with sequence similarity 90 member A13, pseudogene","HGNC:32261","8p23.1"
"KIAA1875","Previous symbol","WDR97","WD repeat domain 97","HGNC:26959","8q24.3"
"RLTPR","Previous symbol","CARMIL2","capping protein regulator and myosin 1 linker 2","HGNC:27089","16q22.1"
"LOC100130274","Unmatched","","","",""
"WIT1","Previous symbol","WT1-AS","WT1 antisense RNA","HGNC:18135","11p13"
"C13orf35","Previous symbol","ATP11AUN","ATP11A upstream neighbor lncRNA","HGNC:33793","13q34"
"KIAA1161","Previous symbol","MYORG","myogenesis regulating glycosidase (putative)","HGNC:19918","9p13.3"
"C9orf172","Previous symbol","AJM1","apical junction component 1 homolog","HGNC:37284","9q34.3"
"C3orf64","Previous symbol","EOGT","EGF domain specific O-linked N-acetylglucosamine transferase","HGNC:28526","3p14.1"
"PLUNC","Previous symbol","BPIFA1","BPI fold containing family A member 1","HGNC:15749","20q11.21"
"C5orf39","Previous symbol","ANXA2R","annexin A2 receptor","HGNC:33463","5p12"
"C19orf39","Previous symbol","SWSAP1","SWIM-type zinc finger 7 associated protein 1","HGNC:26638","19p13.2"
"HDGF2","Unmatched","","","",""
"C7orf41","Previous symbol","MTURN","maturin, neural progenitor differentiation regulator homolog","HGNC:25457","7p14.3"
"EPR1","Entry withdrawn","EPR1","","HGNC:3417",""
"LOC100130331","Unmatched","","","",""
"LOC200726","Unmatched","","","",""
"FLJ43663","Alias symbol","LINC-PINT","long intergenic non-protein coding RNA, p53 induced transcript","HGNC:26885","7q32.3"
"C11orf49","Previous symbol","CSTPP1","centriolar satellite-associated tubulin polyglutamylase complex regulator 1","HGNC:28720","11p11.2"
"FAM153C","Previous symbol","FAM153CP","family with sequence similarity 153 member C, pseudogene","HGNC:33936","5q35.3"
"CDRT1","Previous symbol","FBXW10B","F-box and WD repeat domain containing 10B","HGNC:14379","17p12"
"KIAA1409","Previous symbol","UNC79","unc-79 homolog, NALCN channel complex subunit","HGNC:19966","14q32.12"
"C7orf49","Previous symbol","CYREN","cell cycle regulator of NHEJ","HGNC:22432","7q33"
"C7orf53","Previous symbol","LSMEM1","leucine rich single-pass membrane protein 1","HGNC:22036","7q31.1"
"FAM195A","Previous symbol","MCRIP2","MAPK regulated corepressor interacting protein 2","HGNC:14142","16p13.3"
"TTC25","Previous symbol","ODAD4","outer dynein arm docking complex subunit 4","HGNC:25280","17q21.2"
"MIR1826","Entry withdrawn","MIR1826","","HGNC:35390",""
"PQLC2","Previous symbol","SLC66A1","solute carrier family 66 member 1","HGNC:26001","1p36.13"
"SOLH","Previous symbol","CAPN15","calpain 15","HGNC:11182","16p13.3"
"LOC100192426","Unmatched","","","",""
"KIAA0754","Previous symbol","MACF1","microtubule actin crosslinking factor 1","HGNC:13664","1p34.3"
"HIST1H2BI","Previous symbol","H2BC10","H2B clustered histone 10","HGNC:4756","6p22.2"
"COL29A1","Previous symbol","COL6A5","collagen type VI alpha 5 chain","HGNC:26674","3q22.1"
"OR3A4","Previous symbol","OR3A4P","olfactory receptor family 3 subfamily A member 4 pseudogene","HGNC:15510","17p13.3"
"LOC644165","Unmatched","","","",""
"C9orf45","Previous symbol","MIR600HG","MIR600 host gene","HGNC:23642","9q33.3"
"C11orf41","Previous symbol","KIAA1549L","KIAA1549 like","HGNC:24836","11p13"
"RNU5E","Previous symbol","RNU5E-1","RNA, U5E small nuclear 1","HGNC:10215","1p36.22"
"RNU5D","Previous symbol","RNU5D-1","RNA, U5D small nuclear 1","HGNC:10214","1p34.1"
"CASC4","Previous symbol","GOLM2","golgi membrane protein 2","HGNC:24892","15q15.3"
"ATP5G2","Previous symbol","ATP5MC2","ATP synthase membrane subunit c locus 2","HGNC:842","12q13.13"
"TMCO7","Previous symbol","TANGO6","transport and golgi organization 6 homolog","HGNC:25749","16q22.1"
"LOC100128811","Unmatched","","","",""
"SEPN1","Previous symbol","SELENON","selenoprotein N","HGNC:15999","1p36.11"
"C7orf23","Previous symbol","TMEM243","transmembrane protein 243","HGNC:21707","7q21.12"
"FAM196A","Previous symbol","INSYN2A","inhibitory synaptic factor 2A","HGNC:33859","10q26.2"
"KIAA1199","Previous symbol","CEMIP","cell migration inducing hyaluronidase 1","HGNC:29213","15q25.1"
"C16orf88","Previous symbol","KNOP1","lysine rich nucleolar protein 1","HGNC:34404","16p12.3"
"KIAA0182","Previous symbol","GSE1","Gse1 coiled-coil protein","HGNC:28979","16q24.1"
"CCDC21","Previous symbol","CEP85","centrosomal protein 85","HGNC:25309","1p36.11"
"LOC728927","Unmatched","","","",""
"KIAA1967","Previous symbol","CCAR2","cell cycle and apoptosis regulator 2","HGNC:23360","8p21.3"
"SIGLECP3","Previous symbol","SIGLEC17P","sialic acid binding Ig like lectin 17, pseudogene","HGNC:15604","19q13.41"
"C1orf14","Previous symbol","SHCBP1L","SHC binding and spindle associated 1 like","HGNC:16788","1q25.3"
"LOC728743","Unmatched","","","",""
"C6orf97","Previous symbol","CCDC170","coiled-coil domain containing 170","HGNC:21177","6q25.1"
"ODZ4","Previous symbol","TENM4","teneurin transmembrane protein 4","HGNC:29945","11q14.1"
"C15orf28","Previous symbol","ANP32A-IT1","ANP32A intronic transcript 1","HGNC:25672","15q23"
"GPR123","Previous symbol","ADGRA1","adhesion G protein-coupled receptor A1","HGNC:13838","10q26.3"
"SNORD47","Approved symbol","SNORD47","small nucleolar RNA, C/D box 47","HGNC:10187","1q25.1"
"SNORD81","Approved symbol","SNORD81","small nucleolar RNA, C/D box 81","HGNC:10101","1q25.1"
"SNORD80","Approved symbol","SNORD80","small nucleolar RNA, C/D box 80","HGNC:10096","1q25.1"
"SNORD78","Approved symbol","SNORD78","small nucleolar RNA, C/D box 78","HGNC:32738","1q25.1"
"SNORD79","Approved symbol","SNORD79","small nucleolar RNA, C/D box 79","HGNC:10100","1q25.1"
